,Model,Month,Month_LY,Change,YTD,YTD_LY,YTD_Change
86,Ford EcoSport,"4,627","5,472",-15.44,"60,599","54,348",11.50
87,Ford Edge,"12,387","15,133",-18.15,"138,514","134,122",3.27
88,Hyundai Elantra,"18,720","15,076",24.17,"175,094","200,415",-12.63
89,Buick Enclave,"3,339","4,869",-31.42,"51,156","49,648",3.04
90,Buick Encore,"9,383","7,876",19.13,"102,401","93,071",10.02
91,Buick Envision,"2,759","2,544",8.45,"33,230","30,153",10.20
92,Chevrolet Equinox,"30,323","33,172",-8.59,"346,049","332,621",4.04
93,Lexus ES,"5,025","5,385",-6.69,"51,336","48,482",5.89
94,Cadillac Escalade,"2,927","3,232",-9.44,"35,424","36,032",-1.69
95,Ford Escape,"15,669","20,147",-22.23,"241,387","272,228",-11.33
96,Audi eTron,746,0,0.00,"5,369",0,0.00
97,Ford Expedition,"7,990","6,253",27.78,"86,423","54,661",58.11
98,Ford Explorer,"16,886","22,293",-24.25,"187,061","261,571",-28.49
99,Chevrolet Express,"5,483","7,612",-27.97,"77,457","66,963",15.67
100,Jaguar F-Pace,"2,018","1,595",26.52,"15,491","12,997",19.19
101,Ford F-Series,"77,033","87,772",-12.24,"896,526","909,330",-1.41
102,Jaguar F-Type,156,197,-20.81,"2,279","2,268",0.49
103,Ford Fiesta,"2,409","4,309",-44.09,"60,148","51,730",16.27
104,Honda Fit,"2,609",768,239.71,"35,414","35,030",1.10
105,Ford Flex,"2,024","1,445",40.07,"24,485","20,308",20.57
106,Subaru Forester,"16,436","17,642",-6.84,"180,179","171,613",4.99
107,Kia Forte,"7,709","7,709",0.00,"95,683","101,890",-6.09
108,Nissan Frontier,"4,720","7,492",-37.00,"72,369","79,646",-9.14
109,Ford Fusion,"10,582","16,052",-34.08,"166,045","173,600",-4.35
110,Mercedes-Benz G-Class,816,445,83.37,"6,092","3,593",69.55
111,Genesis G70,"1,222",229,433.62,"11,903",358,"3,224.86"
112,Genesis G80,787,305,158.03,"7,095","7,446",-4.71
113,Genesis G90,216,80,170.00,"2,239","2,136",4.82
114,Alfa Romeo Giulia,767,873,-12.14,"8,705","11,519",-24.43
115,Mercedes-Benz GLA-Class,"2,096","2,397",-12.56,"21,514","24,136",-10.86
116,Jeep Gladiator,"5,487",0,0.00,"40,038",0,0.00
117,Mercedes-Benz GLB,"1,173",0,0.00,"1,173",0,0.00
118,Mercedes-Benz GLC-Class,"6,436","7,294",-11.76,"72,439","69,729",3.89
119,Mercedes-Benz GLE-Class,"5,787","3,734",54.98,"48,664","46,010",5.77
120,Mercedes-Benz GLS-Class,"2,902","2,664",8.93,"22,615","21,973",2.92
121,Volkswagen Golf,"2,664","2,425",9.86,"37,393","42,271",-11.54
122,Dodge Grand Caravan,"7,654","9,694",-21.04,"122,648","151,927",-19.27
123,Jeep Grand Cherokee,"19,074","20,429",-6.63,"242,969","224,908",8.03
124,Lexus GS,265,587,-54.86,"3,378","6,604",-48.85
125,Ford GT,14,1,"1,300.00",698,126,453.97
126,Nissan GT-R,17,25,-32.00,331,538,-38.48
127,Lexus GX,"3,220","3,322",-3.07,"25,945","26,724",-2.91
128,Toyota Highlander,"20,449","23,125",-11.57,"239,437","244,511",-2.08
129,Honda HR-V,"9,199","6,313",45.72,"99,104","85,494",15.92
130,Jaguar I-Pace,176,223,-21.08,"2,594",393,560.05
131,BMW i3,214,356,-39.89,"4,853","6,120",-20.70
132,BMW i8,51,97,-47.42,"1,102",772,42.75
133,Acura ILX,"1,305",924,41.23,"14,685","11,273",30.27
134,Chevrolet Impala,"3,143","4,256",-26.15,"44,978","56,557",-20.47
135,Subaru Impreza,"5,740","5,880",-2.38,"66,415","76,400",-13.07
136,Subaru Impreza WRX,"1,561","2,417",-35.42,"21,838","28,730",-23.99
137,Honda Insight,"1,709","2,235",-23.53,"23,686","12,513",89.29
138,Hyundai Ioniq,"1,164","1,275",-8.71,"19,574","15,076",29.84
139,Lexus IS,"1,171","2,193",-46.60,"14,920","22,927",-34.92
140,Volkswagen Jetta,"8,164","10,261",-20.44,"100,453","90,794",10.64
141,Dodge Journey,"4,047","5,383",-24.82,"74,687","94,096",-20.63
142,Kia K900,32,55,-41.82,392,354,10.73
143,Nissan Kicks,"4,123","5,704",-27.72,"58,193","23,312",149.63
144,Hyundai Kona,"6,678","8,319",-19.73,"73,326","47,090",55.71
145,Buick LaCrosse,153,715,-78.60,"7,241","15,527",-53.37
146,Toyota Land Cruiser,360,179,101.12,"3,536","3,235",9.30
147,Lexus LC,114,152,-25.00,"1,219","1,979",-38.40
148,Nissan Leaf,"1,227","1,667",-26.39,"12,365","14,715",-15.97
149,Subaru Legacy,"3,415","3,374",1.22,"35,063","40,109",-12.58
150,Lexus LS,583,893,-34.71,"5,528","9,301",-40.57
151,Lexus LX,562,212,165.09,"4,718","4,753",-0.74
152,Porsche Macan,"1,675","1,345",24.54,"22,667","22,954",-1.25
153,Chevrolet Malibu,"11,299","12,522",-9.77,"120,302","144,542",-16.77
154,Nissan Maxima,"3,387","5,600",-39.52,"35,076","42,337",-17.15
155,Acura MDX,"5,636","5,948",-5.25,"52,019","51,512",0.98
156,Mercedes-Benz Metris,"1,247",978,27.51,"11,718","7,800",50.23
157,Mitsubishi Mirage,"1,753","1,748",0.29,"26,966","24,316",10.90
158,Toyota Mirai,66,232,-71.55,"1,502","1,689",-11.07
159,Lincoln MKC,"2,486","2,774",-10.38,"25,816","26,241",-1.62
160,Lincoln MKT,91,271,-66.42,"3,388","2,324",45.78
161,Lincoln MKX/Nautilus,"2,544","3,364",-24.38,"31,610","28,573",10.63
162,Lincoln MKZ,"1,343","1,874",-28.34,"17,726","19,852",-10.71
163,Tesla Model 3,"15,566","25,250",-38.35,"161,100","140,317",14.81
164,Tesla Model S,"1,235","3,250",-62.00,"14,425","29,950",-51.84
165,Tesla Model X,"1,811","4,100",-55.83,"19,600","27,250",-28.07
166,Nissan Murano,"5,187","8,033",-35.43,"68,361","83,547",-18.18
167,Ford Mustang,"5,638","4,392",28.37,"72,489","75,842",-4.42
168,Mazda MX-5 Miata,439,511,-14.09,"7,753","8,971",-13.58
169,Lincoln Navigator,"1,797","2,073",-13.31,"18,656","17,839",4.58
170,Hyundai Nexo,15,8,87.50,267,8,"3,237.50"
171,Kia Niro,"2,238","2,006",11.57,"24,421","28,232",-13.50
172,Acura NSX,10,17,-41.18,238,170,40.00
173,Nissan NV,"1,719","2,013",-14.61,"20,022","16,902",18.46
174,Nissan NV200,"1,462","1,691",-13.54,"18,768","18,628",0.75
175,Lexus NX,"7,955","8,764",-9.23,"58,715","62,079",-5.42
176,Honda Odyssey,"8,734","10,512",-16.91,"99,113","106,327",-6.78
177,Kia Optima,"6,568","7,809",-15.89,"96,050","101,603",-5.47
178,Subaru Outback,"16,661","15,851",5.11,"181,178","178,854",1.30
179,Mitsubishi Outlander,"3,977","2,647",50.25,"37,965","37,952",0.03
180,Mitsubishi Outlander PHEV,269,431,-37.59,"2,810","3,866",-27.32
181,Mitsubishi Outlander Sport,"2,496","2,563",-2.61,"26,144","36,867",-29.09
182,Chrysler Pacifica,"9,049","8,936",1.26,"97,706","118,322",-17.42
183,Hyundai Palisade,"5,654",0,0.00,"28,736",0,0.00
184,Porsche Panamera,592,332,78.31,"6,625","8,114",-18.35
185,Volkswagen Passat,714,"3,116",-77.09,"14,123","41,401",-65.89
186,Honda Passport,"3,677",0,0.00,"36,285",0,0.00
187,Nissan Pathfinder,"5,894","6,799",-13.31,"65,691","67,550",-2.75
188,Jeep Patriot,2,9,-77.78,27,621,-95.65
189,Ram Pickup,"56,825","60,155",-5.54,"633,694","536,980",18.01
190,Honda Pilot,"11,250","15,698",-28.33,"135,008","159,615",-15.42
191,Toyota Prius Family,"6,058","6,351",-4.61,"69,718","87,590",-20.40
192,Ram ProMaster,"4,975","5,857",-15.06,"56,410","46,600",21.05
193,Ram ProMaster City,977,"2,183",-55.25,"12,919","13,788",-6.30
194,Audi Q3,"4,295",620,592.74,"14,822","16,828",-11.92
195,Audi Q5,"6,268","8,143",-23.03,"67,516","69,978",-3.52
196,Infiniti Q50,"2,165","3,690",-41.33,"25,987","34,763",-25.25
197,Infiniti Q60,430,662,-35.05,"5,043","8,405",-40.00
198,Audi Q7,"3,967","4,030",-1.56,"34,649","37,417",-7.40
199,Infiniti Q70,90,329,-72.64,"2,552","4,479",-43.02
200,Audi Q8,"1,711",925,84.97,"14,256","2,029",602.61
201,Infiniti QX30,50,647,-92.27,"3,229","8,101",-60.14
202,Infiniti QX50,"1,815","3,329",-45.48,"18,616","25,389",-26.68
203,Infiniti QX60,"4,113","7,032",-41.51,"43,162","47,370",-8.88
204,Infiniti QX80,"2,580","2,372",8.77,"19,113","19,207",-0.49
205,Audi R8,52,79,-34.18,574,927,-38.08
206,Land Rover Range Rover,"2,008","2,231",-10.00,"18,831","19,030",-1.05
207,Land Rover Range Rover Evoque,"1,372","1,594",-13.93,"11,529","9,917",16.25
208,Land Rover Range Rover Sport,"2,826","2,688",5.13,"25,768","24,282",6.12
209,Land Rover Range Rover Velar,"1,547","1,555",-0.51,"17,087","17,037",0.29
210,Ford Ranger,"10,886",0,0.00,"83,571",0,0.00
211,Toyota RAV4,"41,282","38,669",6.76,"448,068","427,168",4.89
212,Lexus RC,428,341,25.51,"4,591","3,358",36.72
213,Acura RDX,"6,263","6,838",-8.41,"62,876","63,580",-1.11
214,Buick Regal,499,"1,050",-52.48,"10,363","14,117",-26.59
215,Jeep Renegade,"6,459","6,666",-3.11,"76,886","97,062",-20.79
216,Honda Ridgeline,"3,757","2,867",31.04,"33,334","30,592",8.96
217,Kia Rio,"1,692","1,608",5.22,"24,509","22,975",6.68
218,Acura RLX,72,216,-66.67,"1,019","1,931",-47.23
219,Nissan Rogue,"27,331","42,523",-35.73,"350,447","412,110",-14.96
220,Lexus RX,"14,069","13,222",6.41,"111,036","111,636",-0.54
221,Mercedes-Benz S-Class,"1,087","1,486",-26.85,"12,503","14,978",-16.52
222,Hyundai Santa Fe,"10,350","11,347",-8.79,"127,373","117,038",8.83
223,GMC Savana,"1,033",981,5.30,"24,227","19,685",23.07
