Year,Make,Model,Platform code / generation number,Class,Notes
YEAR-MAKE-MODEL for AMERICAN MARKET,,,,,
Copyright 2013-2018 by Teoalida - cardatabase.teoalida.com,,,,,
"You are allowed to use this file in your business or company, or convert in SQL database for your website or software development.",,,,,
"You are not allowed to distribute, resell or post the Excel file or converted files on other websites.",,,,,
"SAMPLE file including 2 makes, one domestic (Ford) and one imported (BMW)",,,,,
"FULL file contains 90 makes and 15000+ models, each year adding 300+ models!",,,,,
"See ""Statistics makes"" sheet for the list of makes and number of models included for each make",,,,,
"Visit cardatabase.teoalida.com and purchase the FULL version, as well as other car databases!",,,,,
2012,BMW,"6-Series, M6","F12, F13",Grand tourer,
2013,BMW,"6-Series, M6","F12, F13",Grand tourer,
2014,BMW,"6-Series, M6","F12, F13",Grand tourer,
2015,BMW,"6-Series, M6","F12, F13",Grand tourer,
2016,BMW,"6-Series, M6","F12, F13",Grand tourer,
2017,BMW,"6-Series, M6","F12, F13",Grand tourer,
2018,BMW,"6-Series, M6","F12, F13",Grand tourer,
2019,BMW,"6-Series, M6","F12, F13",Grand tourer,UNCONFIRMED
1952,BMW,501,-,Full-size car,
1953,BMW,501,-,Full-size car,
1954,BMW,501,-,Full-size car,
1955,BMW,501,-,Full-size car,
1956,BMW,501,-,Full-size car,
1957,BMW,501,-,Full-size car,
1958,BMW,501,-,Full-size car,
1959,BMW,501,-,Full-size car,
1960,BMW,501,-,Full-size car,
1961,BMW,501,-,Full-size car,
1954,BMW,502,-,Full-size car,
1955,BMW,502,-,Full-size car,
1956,BMW,502,-,Full-size car,
1957,BMW,502,-,Full-size car,
1958,BMW,502,-,Full-size car,
1959,BMW,502,-,Full-size car,
1960,BMW,502,-,Full-size car,
1961,BMW,502,-,Full-size car,
1961,BMW,"2600, 2600L, 3200L, 3200S",-,Full-size car,
1962,BMW,"2600, 2600L, 3200CS, 3200L, 3200S",-,Full-size car,
1963,BMW,"2600L, 3200CS, 3200S",-,Full-size car,
1964,BMW,3200CS,-,Full-size car,
1965,BMW,3200CS,-,Full-size car,
1968,BMW,2800CS,E9,Full-size car,
1969,BMW,"2500, 2800, 2800CS",E9,Full-size car,
1970,BMW,"2500, 2800, 2800CS",E9,Full-size car,
1971,BMW,"2500, 2800, 2800 Bavaria, 2800CS",E9,Full-size car,
1973,BMW,2800,E9,Full-size car,
1971,BMW,"3.0CS, 3.0CSL, 3.0S",E3,Full-size car,
1972,BMW,"3.0 Bavaria, 3.0CS, 3.0CSL, 3.0S",E3,Full-size car,
1973,BMW,"3.0 Bavaria, 3.0CS, 3.0CSL, 3.0S",E3,Full-size car,
1974,BMW,"3.0 Bavaria, 3.0CS, 3.0CSL, 3.0S",E3,Full-size car,
1975,BMW,"3.0CSI, 3.0S, 3.0SIO",E3,Full-size car,
1976,BMW,3.0SI,E3,Full-size car,
1978,BMW,7-Series,E23,Full-size car,
1979,BMW,7-Series,E23,Full-size car,
1980,BMW,7-Series,E23,Full-size car,
1981,BMW,7-Series,E23,Full-size car,
1982,BMW,7-Series,E23,Full-size car,
1983,BMW,7-Series,E23,Full-size car,
1984,BMW,7-Series,E23,Full-size car,
1985,BMW,7-Series,E23,Full-size car,
1986,BMW,7-Series,E23,Full-size car,
1987,BMW,7-Series,E23,Full-size car,Possible wrong model year
1987,BMW,7-Series,E32,Full-size car,Possible wrong model year
1988,BMW,7-Series,E32,Full-size car,
1989,BMW,7-Series,E32,Full-size car,
1990,BMW,7-Series,E32,Full-size car,
1991,BMW,7-Series,E32,Full-size car,
1992,BMW,7-Series,E32,Full-size car,
1993,BMW,7-Series,E32,Full-size car,
1994,BMW,7-Series,E32,Full-size car,
1995,BMW,7-Series,E38,Full-size car,
1996,BMW,7-Series,E38,Full-size car,
1997,BMW,7-Series,E38,Full-size car,
1998,BMW,7-Series,E38,Full-size car,
1999,BMW,7-Series,E38,Full-size car,
2000,BMW,7-Series,E38,Full-size car,
2001,BMW,7-Series,E38,Full-size car,
2002,BMW,7-Series,"E65, E66",Full-size car,
2003,BMW,7-Series,"E65, E66",Full-size car,
2004,BMW,7-Series,"E65, E66",Full-size car,
2005,BMW,7-Series,"E65, E66",Full-size car,
2006,BMW,7-Series,"E65, E66",Full-size car,
2007,BMW,7-Series,"E65, E66",Full-size car,
2008,BMW,7-Series,"E65, E66",Full-size car,
2009,BMW,7-Series,"E65, E66",Full-size car,
2010,BMW,7-Series,"F01, F02",Full-size car,
2011,BMW,7-Series,"F01, F02",Full-size car,
2012,BMW,7-Series,"F01, F02",Full-size car,
2013,BMW,7-Series,"F01, F02",Full-size car,
2014,BMW,7-Series,"F01, F02",Full-size car,
2015,BMW,7-Series,"F01, F02",Full-size car,
2016,BMW,7-Series,"G11, G12",Full-size car,
2017,BMW,7-Series,"G11, G12",Full-size car,
2018,BMW,7-Series,"G11, G12",Full-size car,
2019,BMW,7-Series,"G11, G12",Full-size car,
1996,BMW,Z3,E36,Sport compact car,
1997,BMW,Z3,E36,Sport compact car,
1998,BMW,"Z3, M",E36,Sport compact car,
1999,BMW,"Z3, M",E36,Sport compact car,
2000,BMW,"Z3, M",E36,Sport compact car,
2001,BMW,"Z3, M",E36,Sport compact car,
2002,BMW,"Z3, M",E36,Sport compact car,
2003,BMW,Z4,"E85, E86",Sport compact car,
2004,BMW,Z4,"E85, E86",Sport compact car,
2005,BMW,Z4,"E85, E86",Sport compact car,
2006,BMW,Z4,"E85, E86",Sport compact car,
2007,BMW,Z4,"E85, E86",Sport compact car,
2008,BMW,Z4,"E85, E86",Sport compact car,
2009,BMW,Z4,E89,Sport compact car,
2010,BMW,Z4,E89,Sport compact car,
2011,BMW,Z4,E89,Sport compact car,
2012,BMW,Z4,E89,Sport compact car,
2013,BMW,Z4,E89,Sport compact car,
2014,BMW,Z4,E89,Sport compact car,
2015,BMW,Z4,E89,Sport compact car,
2016,BMW,Z4,E89,Sport compact car,
1956,BMW,503,-,Sport car,
1957,BMW,503,-,Sport car,
1958,BMW,503,-,Sport car,
1959,BMW,503,-,Sport car,
1956,BMW,507,-,Roadster car,
1957,BMW,507,-,Roadster car,
1958,BMW,507,-,Roadster car,
1959,BMW,507,-,Roadster car,
1978,BMW,M1,-,Sport car,
1979,BMW,M1,-,Sport car,
1980,BMW,M1,-,Sport car,
1981,BMW,M1,-,Sport car,
2000,BMW,Z8,E52,Sport car,
2001,BMW,Z8,E52,Sport car,
2002,BMW,Z8,E52,Sport car,
2003,BMW,Z8,E52,Sport car,
2014,BMW,i8,-,Sport car,
2015,BMW,i8,-,Sport car,
2016,BMW,i8,-,Sport car,
2017,BMW,i8,-,Sport car,
2018,BMW,i8,-,Sport car,
2019,BMW,i8,-,Sport car,
2013,BMW,X1,E84,Compact SUV,
2014,BMW,X1,E84,Compact SUV,
2015,BMW,X1,E84,Compact SUV,
2016,BMW,X1,F48,Compact SUV,
2017,BMW,X1,F48,Compact SUV,
2018,BMW,X1,F48,Compact SUV,
2019,BMW,X1,F48,Compact SUV,
2018,BMW,X2,F39,Compact SUV,
2019,BMW,X2,F39,Compact SUV,
2004,BMW,X3,E83,Compact SUV,
2005,BMW,X3,E83,Compact SUV,
2006,BMW,X3,E83,Compact SUV,
2007,BMW,X3,E83,Compact SUV,
2008,BMW,X3,E83,Compact SUV,
2009,BMW,X3,E83,Compact SUV,
2010,BMW,X3,E83,Compact SUV,
2011,BMW,X3,F25,Compact SUV,
2012,BMW,X3,F25,Compact SUV,
2013,BMW,X3,F25,Compact SUV,
2014,BMW,X3,F25,Compact SUV,
2015,BMW,X3,F25,Compact SUV,
2016,BMW,X3,F25,Compact SUV,
2017,BMW,X3,F25,Compact SUV,
2018,BMW,X3,G01,Compact SUV,
2019,BMW,X3,G01,Compact SUV,
2015,BMW,X4,F26,Compact crossover SUV,
2016,BMW,X4,F26,Compact crossover SUV,
2017,BMW,X4,F26,Compact crossover SUV,
2018,BMW,X4,F26,Compact crossover SUV,
2019,BMW,X4,F26,Compact crossover SUV,
2000,BMW,X5,E53,Mid-size SUV,
2001,BMW,X5,E53,Mid-size SUV,
2002,BMW,X5,E53,Mid-size SUV,
2003,BMW,X5,E53,Mid-size SUV,
2004,BMW,X5,E53,Mid-size SUV,
2005,BMW,X5,E53,Mid-size SUV,
2006,BMW,X5,E53,Mid-size SUV,
2008,BMW,X5,E70,Mid-size SUV,
2009,BMW,X5,E70,Mid-size SUV,
2010,BMW,X5,E70,Mid-size SUV,
2011,BMW,X5,E70,Mid-size SUV,
2012,BMW,X5,E70,Mid-size SUV,
2013,BMW,X5,E70,Mid-size SUV,
2014,BMW,X5,F15,Mid-size SUV,
2015,BMW,X5,F15,Mid-size SUV,
2016,BMW,X5,F15,Mid-size SUV,
2017,BMW,X5,F15,Mid-size SUV,
2018,BMW,X5,F15,Mid-size SUV,
2019,BMW,X5,F15,Mid-size SUV,
2008,BMW,X6,"E71, E72",Mid-size crossover SUV,
2009,BMW,X6,"E71, E72",Mid-size crossover SUV,
2010,BMW,X6,"E71, E72",Mid-size crossover SUV,
2011,BMW,X6,"E71, E72",Mid-size crossover SUV,
2012,BMW,X6,"E71, E72",Mid-size crossover SUV,
2013,BMW,X6,"E71, E72",Mid-size crossover SUV,
2014,BMW,X6,"E71, E72",Mid-size crossover SUV,
2015,BMW,X6,F16,Mid-size crossover SUV,
2016,BMW,X6,F16,Mid-size crossover SUV,
2017,BMW,X6,F16,Mid-size crossover SUV,
2018,BMW,X6,F16,Mid-size crossover SUV,
2019,BMW,X6,F16,Mid-size crossover SUV,
2019,BMW,X7,G07,Full-size SUV,UNCONFIRMED
,,,,,
